,stop_id,stop_name,day,total_usage,num_routes,earliest,latest,num_arrivals,arrival_diff,stop_type,lat,long
90,1051,SW Chestnut & Bertha,0,1.0,1,480,480,2,0.0,Bus Station,45.4987171,-122.6797693
91,11211,SW Bertha & Barbur,0,11.0,3,0,1380,44,31.363636363636363,Bus Station,45.4987171,-122.6797693
92,11211,SW Bertha & Barbur,1,6.5,1,0,1380,33,41.81818181818182,Bus Station,45.5022835,-122.6817386
93,193,SW Barbur & Terwilliger,0,35.0,4,0,1380,72,19.166666666666668,Bus Station,45.5022835,-122.6817386
94,193,SW Barbur & Terwilliger,1,24.5,2,0,1380,52,26.53846153846154,Bus Station,45.5068486,-122.6837517
95,203,SW Barbur & 2nd,0,19.0,4,0,1380,72,19.166666666666668,Bus Station,45.5130783,-122.6818699
96,203,SW Barbur & 2nd,1,11.0,2,0,1380,52,26.53846153846154,Bus Station,45.5130783,-122.6818699
97,182,SW Barbur & Parkhill,0,2.0,4,0,1380,72,19.166666666666668,Bus Station,45.5150719,-122.68079
98,182,SW Barbur & Parkhill,1,1.5,2,0,1380,52,26.53846153846154,Bus Station,45.5150719,-122.68079
99,172,S Barbur & SW Hamilton,0,64.0,8,0,1380,180,7.666666666666667,Bus Station,45.5177481,-122.6793607
100,172,S Barbur & SW Hamilton,1,38.5,4,0,1380,143,9.65034965034965,Bus Station,45.5177481,-122.6793607
101,177,SW Barbur & Lane,0,19.0,4,0,1380,91,15.164835164835164,Bus Station,45.5210796,-122.677553
102,177,SW Barbur & Lane,1,11.0,3,0,1380,75,18.4,Bus Station,45.5210796,-122.677553
103,195,SW Barbur & Whitaker,0,17.0,4,0,1380,91,15.164835164835164,Bus Station,45.5273552,-122.6755573
104,195,SW Barbur & Whitaker,1,8.0,3,0,1380,75,18.4,Bus Station,45.5273552,-122.6755573
105,174,SW Barbur & Hooker,0,24.0,4,0,1380,91,15.164835164835164,Bus Station,45.5245075,-122.6754511
106,174,SW Barbur & Hooker,1,10.5,3,0,1380,75,18.4,Bus Station,45.5245075,-122.6754511
107,654,SW Broadway & 5th,0,0.0,1,480,480,2,0.0,Bus Station,45.5201295,-122.6768428
108,7772,SW 6th & Market,0,227.0,5,0,1380,126,10.952380952380953,Bus Station,45.5201295,-122.6768428
109,7772,SW 6th & Market,1,72.0,4,0,1380,112,12.321428571428571,Bus Station,45.5167937,-122.6786433
110,7765,SW 6th & Jefferson,0,110.0,4,0,1380,100,13.8,Bus Station,45.5167937,-122.6786433
111,7765,SW 6th & Jefferson,1,51.0,3,0,1380,89,15.50561797752809,Bus Station,45.5141328,-122.6800862
112,7800,SW 6th & Taylor,0,194.0,7,0,1380,198,6.96969696969697,Bus Station,45.5141328,-122.6800862
113,7800,SW 6th & Taylor,1,106.0,6,0,1380,180,7.666666666666667,Bus Station,45.5048552,-122.6537255
114,7797,SW 6th & Harvey Milk,0,115.0,6,0,1380,196,7.040816326530612,Bus Station,45.5048552,-122.6537255
115,7797,SW 6th & Harvey Milk,1,81.5,6,0,1380,180,7.666666666666667,Bus Station,45.5048233,-122.645349
116,9302,NW 5th & Hoyt,0,169.0,1,0,1380,95,14.526315789473683,Bus Station,45.5048233,-122.645349
117,9302,NW 5th & Hoyt,1,141.0,1,0,1380,88,15.681818181818182,Bus Station,45.5048059,-122.6396164
118,9301,NW 5th & Davis,0,395.0,9,0,1380,456,3.026315789473684,Bus Station,45.5048059,-122.6396164
119,9301,NW 5th & Davis,1,270.5,9,0,1380,405,3.4074074074074074,Bus Station,45.5047999,-122.6346456
120,7642,SW 5th & Washington,0,214.0,2,0,1380,164,8.414634146341463,Bus Station,45.5047999,-122.6346456
121,7642,SW 5th & Washington,1,149.5,2,0,1380,148,9.324324324324325,Bus Station,45.5047931,-122.6295727
122,7634,SW 5th & Salmon,0,237.0,2,0,1380,164,8.414634146341463,Bus Station,45.5047931,-122.6295727
123,7634,SW 5th & Salmon,1,175.0,2,0,1380,148,9.324324324324325,Bus Station,45.5052689,-122.6180441
124,7594,SW 5th & Columbia,0,405.0,5,0,1380,260,5.307692307692308,Bus Station,45.5052689,-122.6180441
125,7594,SW 5th & Columbia,1,201.0,5,0,1380,235,5.872340425531915,Bus Station,45.5053124,-122.6100116
126,1375,SE Division & 12th Ave,0,125.0,2,0,1380,117,11.794871794871796,Bus Station,45.5053124,-122.6100116
127,1375,SE Division & 12th Ave,1,80.5,2,0,1380,100,13.8,Bus Station,45.50535965,-122.60143625
128,1435,SE Division & 20th Ave,0,165.0,2,0,1380,117,11.794871794871796,Bus Station,45.50535965,-122.60143625
129,1435,SE Division & 20th Ave,1,111.0,2,0,1380,100,13.8,Bus Station,45.5053731,-122.5937143
130,1441,SE Division & 26th Ave,0,88.0,1,0,1380,95,14.526315789473683,Bus Station,45.5053731,-122.5937143
131,1441,SE Division & 26th Ave,1,54.5,1,0,1380,88,15.681818181818182,Bus Station,45.50539195,-122.5848459
132,1447,SE Division & 30th Ave,0,44.0,1,0,1380,95,14.526315789473683,Bus Station,45.50539195,-122.5848459
133,1447,SE Division & 30th Ave,1,35.0,1,0,1380,88,15.681818181818182,Bus Station,45.504838500000005,-122.5786924
134,1451,SE Division & 34th Ave,0,47.0,1,0,1380,95,14.526315789473683,Bus Station,45.504838500000005,-122.5786924
135,1451,SE Division & 34th Ave,1,43.5,1,0,1380,88,15.681818181818182,Bus Station,45.50456353333333,-122.57395416666668
136,1458,SE Division & Cesar Chavez Blvd,0,150.0,1,0,1380,95,14.526315789473683,Bus Station,45.50456353333333,-122.57395416666668
137,1458,SE Division & Cesar Chavez Blvd,1,103.5,1,0,1380,88,15.681818181818182,Bus Station,45.5043264,-122.5595827
138,8791,SE Division & 43rd Ave,0,52.0,1,0,1380,95,14.526315789473683,Bus Station,45.5043264,-122.5595827
139,8791,SE Division & 43rd Ave,1,24.0,1,0,1380,88,15.681818181818182,Bus Station,45.5042464,-122.5466818
140,14225,SE Division & 51st Ave,0,162.0,1,0,1380,95,14.526315789473683,Bus Station,45.5042464,-122.5466818
141,14225,SE Division & 51st Ave,1,93.5,1,0,1380,88,15.681818181818182,Bus Station,45.50422295,-122.54431335
142,1477,SE Division & 60th Ave,0,82.0,1,0,1380,95,14.526315789473683,Bus Station,45.50422295,-122.54431335
143,1477,SE Division & 60th Ave,1,32.0,1,0,1380,88,15.681818181818182,Bus Station,45.5041007,-122.5376737
144,14226,SE Division & 68th Ave,0,36.0,1,0,1380,95,14.526315789473683,Bus Station,45.5041007,-122.5376737
145,14226,SE Division & 68th Ave,1,26.5,1,0,1380,88,15.681818181818182,Bus Station,45.5040603,-122.529978
